Categories,0,1,2,3,4,5,6,7,8,9
0,104.25,98.92,78.02,84.78,117.46,102.26,72.28,85.98,89.73,25.848074924048007
1,96.56,103.5,76.53,81.65,114.14,101.39,68.04,88.78,82.24,28.746584264549856
2,98.46,107.7,81.89,73.84,91.75,75.98,74.96,91.2,76.88,48.734626347761576
3,101.28,105.84,75.69,75.34,82.9,64.59,84.38,89.93,72.52,49.52244176216992
4,95.81,84.68,61.33,77.92,83.14,59.78,74.81,84.25,76.89,40.69829803332124
5,87.01,77.46,58.72,106.24,116.38,70.92,79.12,94.99,92.4,40.65916451822998
6,83.5,71.68,55.02,125.39,142.52,90.99,75.72,94.37,90.98,58.361265372581
7,84.18,65.84,56.08,107.5,134.68,83.07,70.4,90.41,80.84,46.253861072849446
8,83.79,68.23,58.92,104.59,126.23,77.35,71.56,99.41,83.12,67.65033129016346
9,88.98,70.28,57.99,106.93,92.01,69.36,74.3,99.23,74.53,52.410547760920196
10,92.0,63.0,58.0,107.0,86.0,71.0,70.0,92.0,79.0,30.4138126514911
